sample,type,pcr,date,site,filter,Tem,pH,EC
MHS10site1,sample,3,2019/5/28,MHS1,800,22,9.52,18.47
MHS10site2,sample,3,2019/5/28,MHS2,800,22.4,9.44,18.5
MHS10site3,sample,3,2019/5/28,MHS3,800,22.7,9.14,18.47
MHS11site1,sample,4,2019/6/4,MHS1,800,21.8,NA,NA
MHS11site2,sample,4,2019/6/4,MHS2,800,21.9,NA,NA
MHS11site3,sample,4,2019/6/4,MHS3,800,22.2,NA,NA
MHS12site1,sample,4,2019/6/11,MHS1,800,17.5,6.74,20.7
MHS12site2,sample,4,2019/6/11,MHS2,800,17.4,6.98,20.4
MHS12site3,sample,4,2019/6/11,MHS3,800,18.6,7.27,20.2
MHS13site1,sample,4,2019/6/18,MHS1,1000,22.8,7.81,20.3
MHS13site2,sample,4,2019/6/18,MHS2,1000,22.8,8.05,20.2
MHS13site3,sample,4,2019/6/18,MHS3,1000,23.6,8.43,19.97
MHS14site1,sample,4,2019/6/25,MHS1,800,20.8,7.08,20.5
MHS14site2,sample,4,2019/6/25,MHS2,800,21.5,6.89,20.3
MHS14site3,sample,4,2019/6/25,MHS3,800,23.5,8.2,20.3
MHS15site1,sample,4,2019/7/2,MHS1,700,23,6.74,15.32
MHS15site2,sample,4,2019/7/2,MHS2,700,23.3,7.14,15.11
MHS15site3,sample,4,2019/7/2,MHS3,700,23.7,7.23,15.02
MHS16site1,sample,4,2019/7/9,MHS1,800,18.7,6.81,13.53
MHS16site2,sample,4,2019/7/9,MHS2,800,18.6,6.83,13.76
MHS16site3,sample,4,2019/7/9,MHS3,700,18.8,7.61,13.21
MHS17site1,sample,4,2019/7/16,MHS1,1000,22.1,8.56,16.71
MHS17site2,sample,4,2019/7/16,MHS2,1000,21.6,7.57,16.99
MHS17site3,sample,4,2019/7/16,MHS3,1000,22.6,7.85,16.83
MHS17siteNC,filternc,4,2019/7/16,filternc,1000,NA,NA,NA
MHS18site1,sample,4,2019/7/23,MHS1,1000,23.7,7.47,19.06
MHS18site2,sample,4,2019/7/23,MHS2,1000,23.7,7.36,19.23
MHS18site3,sample,4,2019/7/23,MHS3,1000,24.2,7.47,18.8
MHS19site1,sample,4,2019/7/30,MHS1,1000,30.7,9.07,19.48
MHS19site2,sample,4,2019/7/30,MHS2,1000,31.5,9.08,19.42
MHS19site3,sample,4,2019/7/30,MHS3,1000,31.8,8.89,19.53
MHS1site1,sample,3,2019/3/26,MHS1,1000,9.7,8.7,22.1
MHS1site2,sample,3,2019/3/26,MHS2,1000,9.6,8.7,22.6
MHS1site3,sample,3,2019/3/26,MHS3,1000,10.1,8.8,21.9
MHS1siteNC,filternc,3,2019/3/26,filternc,1000,NA,NA,NA
MHS20site1,sample,4,2019/8/6,MHS1,1000,34.2,8.81,20.8
MHS20site2,sample,4,2019/8/6,MHS2,1000,34.4,8.73,20.9
MHS20site3,sample,4,2019/8/6,MHS3,1000,34.7,8.75,20.8
MHS21site1,sample,4,2019/8/13,MHS1,1000,33.2,8.24,21.8
MHS21site2,sample,4,2019/8/13,MHS2,1000,33.8,8.9,21.5
MHS21site3,sample,4,2019/8/13,MHS3,1000,33.5,8.15,21.9
MHS2site1,sample,3,2019/4/2,MHS1,1000,7.5,8.6,22.8
MHS2site2,sample,3,2019/4/2,MHS2,1000,7,8.9,23
MHS2site3,sample,3,2019/4/2,MHS3,1000,7.7,8.9,27.3
MHS3site1,sample,3,2019/4/9,MHS1,1000,9.3,8.5,22.3
MHS3site2,sample,3,2019/4/9,MHS2,1000,9.7,9,22.7
MHS3site3,sample,3,2019/4/9,MHS3,1000,10.2,9.2,22.2
MHS4site1,sample,3,2019/4/16,MHS1,1000,14.1,9.63,26
MHS4site2,sample,3,2019/4/16,MHS2,1000,13.6,9.63,21.1
MHS4site3,sample,3,2019/4/16,MHS3,1000,16,9.53,21.1
MHS5site1,sample,3,2019/4/23,MHS1,1000,16.5,9.2,21.1
MHS5site2,sample,3,2019/4/23,MHS2,1000,16.8,9.14,20.9
MHS5site3,sample,3,2019/4/23,MHS3,1000,18,9.03,20.9
MHS6site1,sample,3,2019/4/30,MHS1,1000,13.4,8.43,21.5
MHS6site2,sample,3,2019/4/30,MHS2,1000,13.7,8.58,20.8
MHS6site3,sample,3,2019/4/30,MHS3,1000,13.7,8.15,34.6
MHS7site1,sample,3,2019/5/7,MHS1,1000,16.4,7.53,20.1
MHS7site2,sample,3,2019/5/7,MHS2,1000,16.4,7.98,19.98
MHS7site3,sample,3,2019/5/7,MHS3,1000,17,8.35,19.98
MHS8site1,sample,3,2019/5/14,MHS1,1000,17.7,7.88,21.9
MHS8site2,sample,3,2019/5/14,MHS2,1000,17.7,8.18,20.7
MHS8site3,sample,3,2019/5/14,MHS3,1000,18,8.62,20.5
MHS9site1,sample,3,2019/5/21,MHS1,800,17.6,7.09,19.7
MHS9site2,sample,3,2019/5/21,MHS2,800,17.4,7.37,20.1
MHS9site3,sample,3,2019/5/21,MHS3,800,17.5,7.14,20.1
MHS9siteNC,filternc,3,2019/5/21,filternc,1000,NA,NA,NA
MHSPCRNC3,pcrnc,3,NA,pcrnc,NA,NA,NA,NA
MHSPCRNC4,pcrnc,4,NA,pcrnc,NA,NA,NA,NA
MHS33site1,sample,1,2020/5/19,MHS1,1000,15.5,7.06,17.07
MHS33site2,sample,1,2020/5/19,MHS2,1000,15.3,7,16.79
MHS33site3,sample,1,2020/5/19,MHS3,1000,15.5,7.09,16.39
MHS34site1,sample,1,2020/5/26,MHS1,1000,19.7,7.23,17.77
MHS34site2,sample,1,2020/5/26,MHS2,1000,20,7.42,17.79
MHS34site3,sample,1,2020/5/26,MHS3,1000,22.3,7.51,17.46
MHS35site1,sample,1,2020/6/2,MHS1,1000,21.5,7.15,20.1
MHS35site2,sample,1,2020/6/2,MHS2,1000,21,7.34,20
MHS35site3,sample,1,2020/6/2,MHS3,1000,22.4,6.97,19.33
MHS36site1,sample,1,2020/6/9,MHS1,1000,26.3,8.45,20.9
MHS36site2,sample,1,2020/6/9,MHS2,1000,26.8,8.43,21
MHS36site3,sample,1,2020/6/9,MHS3,900,27.2,8.65,20.9
MHS36siteNC,filternc,2,2020/6/9,filternc,1000,NA,NA,NA
MHS37site1,sample,2,2020/6/16,MHS1,1000,27.7,8.28,22.4
MHS37site2,sample,2,2020/6/16,MHS2,900,28.1,8.48,22.4
MHS37site3,sample,2,2020/6/16,MHS3,1000,28.1,7.84,22.9
MHS38site1,sample,2,2020/6/23,MHS1,750,23.3,8.46,28
