YN,name,species,MHS10site1,MHS10site2,MHS10site3,MHS11site1,MHS11site2,MHS11site3,MHS12site1,MHS12site2,MHS12site3,MHS13site1,MHS13site2,MHS13site3,MHS14site1,MHS14site2,MHS14site3,MHS15site1,MHS15site2,MHS15site3,MHS16site1,MHS16site2,MHS16site3,MHS17site1,MHS17site2,MHS17site3,MHS17siteNC,MHS18site1,MHS18site2,MHS18site3,MHS19site1,MHS19site2,MHS19site3,MHS1site1,MHS1site2,MHS1site3,MHS1siteNC,MHS20site1,MHS20site2,MHS20site3,MHS21site1,MHS21site2,MHS21site3,MHS2site1,MHS2site2,MHS2site3,MHS3site1,MHS3site2,MHS3site3,MHS4site1,MHS4site2,MHS4site3,MHS5site1,MHS5site2,MHS5site3,MHS6site1,MHS6site2,MHS6site3,MHS7site1,MHS7site2,MHS7site3,MHS8site1,MHS8site2,MHS8site3,MHS9site1,MHS9site2,MHS9site3,MHS9siteNC,MHSPCRNC3,MHSPCRNC4,MHS33site1,MHS33site2,MHS33site3,MHS34site1,MHS34site2,MHS34site3,MHS35site1,MHS35site2,MHS35site3,MHS36site1,MHS36site2,MHS36site3,MHS36siteNC,MHS37site1,MHS37site2,MHS37site3,MHS38site1,MHS38site2,MHS38site3,MHS45site1,MHS45site2,MHS45site3,MHS49site1,MHS49site2,MHS49site3,MHS50site1,MHS50site2,MHS50site3,MHS51site1,MHS51site2,MHS51site3,MHS52site1,MHS52site2,MHS52site3,MHS52siteNC,MHS53site1,MHS53site2,MHS53site3,MHS54site1,MHS54site2,MHS54site3,MHS55site1,MHS55site2,MHS55site3,MHS56site1,MHS56site2,MHS56site3,MHSPCRNC1,MHSPCRNC2,MHS22site1,MHS22site2,MHS22site3,MHS22siteNC,MHS23site1,MHS23site2,MHS23site3,MHS24site1,MHS24site2,MHS24site3,MHS25site1,MHS25site2,MHS25site3,MHS26site1,MHS26site2,MHS26site3,MHS27site1,MHS27site2,MHS27site3,MHS28site1,MHS28site2,MHS28site3,MHS29site1,MHS29site2,MHS29site3,MHS29siteNC,MHS30site1,MHS30site2,MHS30site3,MHS31site1,MHS31site2,MHS31site3,MHS32site1,MHS32site2,MHS32site3
Y,fresh,Anguilla_japonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,fresh,Carassius_cuvieri,1008,3553,2428,1580,2844,1945,1981,1324,1536,822,1071,423,1326,539,486,3990,8985,2620,2410,1856,7542,4243,585,1932,7,1266,1508,884,238,1437,11167,869,1264,964,7,2377,569,940,1599,23,939,1832,4254,881,271,593,52,3536,4097,72162,5874,33,5135,5729,2759,6242,7717,6466,7040,2964,6040,20813,6771,1817,3456,13,2,1,2954,696,1731,655,1976,1889,1012,531,1499,2851,832,395,661,340,393,149,1480,682,1113,754,89,425,1376,1296,2114,1192,240,1258,472,53,1768,416,401,353,6,2008,1306,1559,864,703,4743,3183,1631,1202,6599,2407,1387,8,7,26,186,32,67,22,75,48,1129,785,342,650,939,95,88,1476,201,33972,54005,43072,4492,3258,867,2597,1010,1719,482,8344,56763,9366,8645,19048,6746,1659,2961,1232
Y,fresh,Carassius_sp.,2973,3114,7662,3300,3374,7435,3493,6503,1296,2325,4821,5704,1269,1593,3026,17515,21322,40889,6836,9696,13435,8614,4711,10626,33,5396,20165,8637,4510,15525,7754,1664,2335,1180,10,4568,41104,3569,5061,6988,1563,4226,3778,797,2310,3334,1067,4845,4979,3898,11469,946,15243,9689,4677,7333,10198,10543,10800,7711,11402,30737,8049,13423,5125,19,9,256,2076,2915,2099,3385,7178,4351,1478,719,1597,4019,1111,2191,603,2985,1660,3162,1599,6832,2547,1710,6449,6047,2313,13378,10111,3280,2234,2028,1927,988,3041,2599,2593,1899,16,3540,3535,4307,8491,3509,12061,11029,6925,2823,11821,6936,8935,25,31,412,2268,229,37,960,1341,1542,2629,2059,432,395,3142,21,1351,2945,3368,23645,19950,9746,13353,3740,2822,2606,5607,2634,198,9643,23884,11231,6151,11009,6044,8434,4647,2720
Y,fresh,Ctenopharyngodon_idella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1013,0,0,0,0,0,0,0,6,0,35,33,0,0
Y,fresh,Cyprinus_carpio,386,804,1149,1764,1146,2111,1100,1021,1300,651,2411,351,163,1111,767,1100,762,1758,2940,2093,5997,1654,505,2248,5,1260,1207,1073,952,601,702,4874,146,5,4,574,210,356,1256,284,147,1269,1682,798,965,80,664,712,3704,1341,2572,4,3563,2580,1424,3199,9516,13532,17865,5358,8152,19701,1643,1921,1498,8,2,1,3548,1503,525,799,1642,2738,387,261,1426,821,640,932,34,743,1411,721,592,299,439,220,26,127,649,3326,615,182,654,1301,726,137,906,342,170,390,4,1129,1193,852,205,16,1678,2599,1321,303,1244,212,2149,7,5,755,2673,816,28,2612,25580,11776,976,2292,2525,3434,4089,9855,1683,1176,4378,7041,1926,7373,2650,3489,6164,2303,954,10102,15,286,5515,758,2563,2185,1062,714,176,1361
Y,fresh,Gnathopogon_elongatus_elongatus,151,4,0,0,437,70,0,0,0,0,172,0,177,0,1,0,138,0,0,182,0,0,0,1,0,0,0,2,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,408,0,0,0,0,0,2,58,240,335,114,409,0,0,4932,4323,382,663,1,0,0,0,26,0,73,0,34,20,33106,23,16,33,30733,333,0,14,0,5,0,8,0,1,0,13,0,155,0,42,0,5179,262,314,0,2,1,14,131,3,0,9,0,0,0,19,0,1,0,126,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,0,0,0,0,0,174,1,0,0,0,0,0,0,0
Y,fresh,Gymnogobius_urotaenia,3,5492,358,15,822,3669,405,7916,5267,1153,9758,7546,2381,926,4472,185,1544,1243,122,1052,425,2341,3801,2884,1,1172,2408,6772,1,307,739,2,3,743,0,2,998,573,271,35403,113,2,1,1,4,2,2,2,2,2,4,1,5,11,0,3,0,0,0,0,0,211,613,3224,1088,4,6,8,742,157,3,1008,721,403,0,176,996,2,136,19,350,96,124,640,3,19,74,0,1,0,0,0,84,337,0,0,0,4,0,1,0,0,2,0,1,0,0,2,0,0,597,1,1,113,0,0,1,3,690,2,4,1,1397,5634,5,903,0,271,980,0,0,774,1085,117,5,3,1,344,108,6,1,1,0,239,14,590,0,105,0,3,182,3
Y,fresh,Hemibarbus_barbus,2,3,449,0,550,136,0,0,810,54,71,182,2,0,0,243,1089,442,314,672,270,1116,787,782,2,1414,3084,1335,109,2,597,0,0,0,0,1053,174,292,1091,257,0,0,1,1,0,0,0,0,447,0,193,0,1,233,0,451,0,477,342,2,1,242,611,989,518,1,1,1,417,106,82,34,165,2,1,120,391,0,1,310,16,222,3102,294,192,1,130,58,511,127,632,67,49,1,1,1,338,322,1247,76,2,2,3,614,841,327,376,495,981,56,1423,4,3,679,3268,0,1,2,2,0,0,2,2,0,0,309,0,0,0,0,0,0,318,61,12,0,101,17,5,3,230,350,2,0,86,1168,767,204,50,0,0,393
Y,fresh,Lefua_echigonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,fresh,Lepomis_macrochirus,1198,519,556,1700,15,1420,594,857,5,2,1356,4010,488,2990,501,1777,4984,2627,1205,3522,3150,958,14797,19085,1356,2857,3283,11162,1943,1586,18031,522,0,109,1,601,5716,16434,2450,1641,9529,0,4,3,1,5,393,1,310,1,2,0,1687,3,5,518,411,431,147,2,626,935,2151,789,908,8,829,751,322,1751,1741,1786,103,6605,5218,1487,4461,4159,18348,8274,124,4892,11932,9261,6724,21552,4384,5594,1546,13646,4520,506,4204,10682,1237,4222,16110,19844,10281,5248,7341,1317,34,4498,7098,16834,1341,1536,12723,2107,8002,910,1424,6366,37329,36,23,43,328,116,3,1,394,875,308,106,0,4,0,2,8,1,1195,2,6,0,284,0,363,9,16,55,1,1,52,1,3979,928,1212,939,811,977
